 A(%),No_B,RB,VE_B,EB,Tm(B), B(%),No_C,RC,VE_C,EC,Tm(C),C(%),No_D,RD,VE_D,ED,Tm(D),D(%),Class
58,29,145,11,1.9,1084.62,31,39,206,3,1.22,1522,4,60,206,6,1.14,1021,7,2
57,29,145,11,1.9,1084.62,31.5,39,206,3,1.22,1522,9.2,60,206,6,1.14,1021,2.3,2
58,29,145,11,1.9,1084.62,31,39,206,3,1.22,1522,6,60,206,6,1.14,1021,5,2
70,29,145,11,1.9,1084.62,31,39,206,3,1.22,1522,6.6,60,206,6,1.14,1021,5.4,2
57,29,145,11,1.9,1084.62,31.5,39,206,3,1.22,1522,8,60,206,6,1.14,1021,3.5,2
58,29,145,11,1.9,1084.62,31,39,206,3,1.22,1522,8,60,206,6,1.14,1021,3,2
58,29,145,11,1.9,1084.62,31,39,206,3,1.22,1522,10,60,206,6,1.14,1021,1,2
58,29,145,11,1.9,1084.62,25,39,206,3,1.22,1522,10,30,142,2,1.65,419.53,7,1
65,29,145,11,1.9,1084.62,20,39,206,3,1.22,1522,10,30,142,2,1.65,419.53,5,2
58,29,145,11,1.9,1084.62,27,39,206,3,1.22,1522,10,30,142,2,1.65,419.53,5,2
70,29,145,11,1.9,1084.62,14.5,39,206,3,1.22,1522,7,30,142,2,1.65,419.53,3.5,2
58,29,145,11,1.9,1084.62,15,39,206,3,1.22,1522,10,30,142,2,1.65,419.53,5,2
58.5,29,145,11,1.9,1084.62,30.5,39,206,3,1.22,1522,2,64,233,10,1.2,1313,9,2
65,29,145,11,1.9,1084.62,25,64,233,10,1.14,1021,8,60,206,6,1.14,1021,2,1
65,29,145,11,1.9,1084.62,25,64,233,10,1.14,1313,6,60,206,6,1.14,1021,4,1
65,29,145,11,1.9,1084.62,25,64,233,10,1.14,1313,2,60,206,6,1.14,1021,8,1
65,29,145,11,1.9,1084.62,25,64,233,10,1.14,1313,4,60,206,6,1.14,1021,6,2
65,29,145,11,1.9,1084.62,20,64,233,10,1.14,1313,10,28,149,10,1.91,1455,5,2
75,29,145,11,1.9,1084.62,5,64,233,10,1.14,1313,10,28,149,10,1.91,1455,10,2
70,29,145,11,1.9,1084.62,15,64,233,10,1.14,1313,10,28,149,10,1.91,1455,5,2
65,29,145,11,1.9,1084.62,15,64,233,10,1.14,1313,15,47,165,11,1.93,961.8,10,1
65,29,145,11,1.9,1084.62,10,64,233,10,1.14,1313,10,47,165,11,1.93,961.8,15,1
65,29,145,11,1.9,1084.62,20,64,233,10,1.14,1313,10,47,165,11,1.93,961.8,5,1
61,47,165,11,1.93,961.8,4,28,149,10,1.91,1455,21,59,247,5,1.13,931,14,1
60,47,165,11,1.93,961.8,5,28,149,10,1.91,1455,21,59,247,5,1.13,931,14,1
62,47,165,11,1.93,961.8,3,28,149,10,1.91,1455,21,59,247,5,1.13,931,14,1
63,47,165,11,1.93,961.8,2,28,149,10,1.91,1455,21,59,247,5,1.13,931,14,1
68,47,165,11,1.93,961.8,7,28,149,10,1.91,1455,15,64,233,10,1.9,1313,10,1
69,47,165,11,1.93,961.8,6,28,149,10,1.91,1455,15,64,233,10,1.9,1313,10,1
70,47,165,11,1.93,961.8,5,28,149,10,1.91,1455,15,64,233,10,1.9,1313,10,1
71,47,165,11,1.93,961.8,4,28,149,10,1.91,1455,15,64,233,10,1.9,1313,10,1
